id;nombre;sexo;trato;circunscripcion;partido;fecha_condicion_plena;fecha_alta;fecha_baja;g_par;fecha_alta_g_par;fecha_baja_g_par;biografia;asiento;gobierno
11;Aizpurua Arzallus, Mertxe;M;Diputada;Gipuzkoa;EH Bildu;/Date(1692226800000)/;/Date(1691967600000)/;;Euskal Herria Bildu;/Date(1692313200000)/;;Casada, un hijo  Licenciada en Ciencias de la Información  Alcaldesa de Usurbil (2011-2015)  Presidenta de Udalbiltza (2012-2015);81;0
12;Alcaraz Martos, Francisco José;H;Diputado;Jaén;VOX;/Date(1692226800000)/;/Date(1690844400000)/;;Vox;/Date(1692313200000)/;;Viudo  Empresario  Senador durante la XII y XIII Legislaturas;43;0
13;Alfonso Cendón, Javier;H;Diputado;León;PSOE;/Date(1692226800000)/;/Date(1691622000000)/;;Socialista;/Date(1693177200000)/;;Doctor en Ingeniería.  Máster EMBA, UPM.  Máster en Energías Renovables, Universidad de León.  Máster Profesional en Tecnologías de Seguridad, Universidad de León.  Ingeniero en Informática.  Profesor titular de universidad.  Secretario General del PSOE de León.;277;0
14;Alfonso Silvestre, Alma;M;Diputada;València;PP;/Date(1692226800000)/;/Date(1691622000000)/;;Popular en el Congreso;/Date(1692313200000)/;;"Casada. Dos hijos. . Enseñanza primaria y bachiller en el Liceo Francés de Valencia. Licenciada en Derecho por la Universidad de Valencia. Máster de la Escuela de Práctica Jurídica impartido por el Ilustre Colegio de Abogados de Valencia.  Experiencia profesional: autónoma en el sector inmobiliario; directora de despacho de abogados; asesora jurídica y directora de relaciones institucionales de la Federación Nacional de Trabajadores Autónomos.  Miembro de la Junta Directiva y del Comité Ejecutivo del PP de Valencia. Secretaria ejecutiva de Economía, PYMES y Autónomos de la Vicesecretaría Sectorial. Miembro del Comité Ejecutivo autonómico del PP Comunidad Valenciana. Vicesecretaria de Empleo, emprendimientos e infraestructuras. Secretaria de Autónomos.  Miembro de la Junta Directiva de ATACV";301;0
15;Alía Aguado, María Pilar;M;Diputada;Toledo;PP;/Date(1692226800000)/;/Date(1691535600000)/;;Popular en el Congreso;/Date(1692313200000)/;;Casada, dos hijos.  Licenciada en Ciencias Económicas y Empresariales.  Experto contable acreditado.  Máster en Fiscalidad Internacional y Comunitaria.  Máster en Auditoría.  Máster en Gestión Presupuestaria.  Senadora XIV Legislatura.  Portavoz de Hacienda en el Senado;27;0
16;Almirón Ruiz, Oriol;H;Diputado;Barcelona;PSC;/Date(1725922800000)/;/Date(1725922800000)/;;Socialista;/Date(1725922800000)/;;Grado en Ciencias Políticas y de la Administración con mención en Políticas Públicas en la Universidad de Barcelona.  Estudiando el máster en  Gestión Pública Avanzada  Concejal en el Ayuntamiento de Ódena del 2019-2023 y en la actualidad.;271;0
17;Almodóvar Sánchez, Emilia;M;Diputada;Cáceres;PSOE;/Date(1702944000000)/;/Date(1702944000000)/;;Socialista;/Date(1702944000000)/;;"Diplomatura Trabajo Social  FP Superior Integración Social  Técnico en Mediación Familiar, Civil, Mercantil  Técnico en Prevención de Riesgos Laborales.  Actividad profesional trabajo social """"Centro Sociosanitario""""  Militante activa";374;0
18;Alonso Cantorné, Fèlix;H;Diputado;Tarragona;CeC;/Date(1692226800000)/;/Date(1691967600000)/;;Plurinacional SUMAR;/Date(1693782000000)/;;Geografía e Historia por la Universidad Central de Barcelona.   Director General de Relaciones Institucionales y con el Parlamento de Catalunya, 2006-2010.   Alcalde de Altafulla, 2011-2019.   Diputado en las legislaturas XI y XII.   Director General de Consumo del Gobierno Balear. ;90;0
19;Alós López, Ana Isabel;M;Diputada;Huesca;PP;/Date(1692226800000)/;/Date(1692140400000)/;;Popular en el Congreso;/Date(1692313200000)/;;Dos hijas.  Licenciada en Ciencias Económicas en la Universidad de Zaragoza (1987-1992). Máster en Administración y Dirección de Empresas en ICADE. Programa de Liderazgo en Innovación en Deusto. Programa de Liderazgo en Gestión Pública en IESE. Ejercicio como economista en su propia empresa (1996-2008).  Concejal en el Ayuntamiento de Huesca (2003-2015) y (2019-2020). Alcaldesa de Huesca (2011-2015). Diputada provincial (2015). Diputada en el Congreso (2016-2019). Senadora (2019- actualidad). Diputada Autonómica Aragón (2023) (junio-agosto).;252;0
20;Álvarez de Toledo Peralta-Ramos, Cayetana;M;Diputada;Madrid;PP;/Date(1692226800000)/;/Date(1692140400000)/;;Popular en el Congreso;/Date(1692313200000)/;;Licenciada y Doctora en Historia por la Universidad de Oxford.  Periodista.  Miembro del Consejo Científico del Instituto Elcano.  Miembro del Patronato de FAES.;298;0
21;Álvarez Fanjul, Beatriz;M;Diputada;Bizkaia;PP;/Date(1692226800000)/;/Date(1691362800000)/;;Popular en el Congreso;/Date(1692313200000)/;;;229;0
